County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Sutter County, CA",21-22,101,6,121,,,,,,,,240.0,-49.583333333333336,-119.0,813.0,24.53531598513011,1020.0,5.297397769516729,225.0,-46.22222222222222,-104.0,694.0,37.22826086956522,952.0,13.858695652173914
"Sweetwater County, WY",21-22,37,56,79,67.0,17.910447761194035,12.0,439.0,58.56196783349101,269.0,74.64522232734153,67.0,17.910447761194035,12.0,374.0,65.33457249070632,246.0,77.23048327137546,72.0,9.722222222222232,7.0,303.0,72.64492753623189,245.0,77.89855072463769
"Talbot County, MD",21-22,41,24,548,537.0,2.0484171322160183,11.0,443.0,58.18353831598865,511.0,51.75023651844843,562.0,-2.491103202846978,-14.0,574.0,46.74721189591078,523.0,51.486988847583646,620.0,-11.612903225806448,-72.0,630.0,43.025362318840585,502.0,54.61956521739131
"Tangipahoa Parish, LA",21-22,105,22,1056,1064.0,-0.7518796992481258,-8.0,627.0,40.77578051087985,584.0,44.84389782403028,1114.0,-5.206463195691202,-58.0,727.0,32.52788104089219,573.0,46.84014869888476,1745.0,-39.48424068767908,-689.0,952.0,13.858695652173914,891.0,19.384057971014492
"Tarrant County, TX",21-22,439,48,2981,2789.0,6.884187880960924,192.0,165.0,84.48438978240303,415.0,60.83254493850521,3536.0,-15.695701357466064,-555.0,964.0,10.50185873605948,741.0,31.226765799256505,4940.0,-39.655870445344135,-1959.0,1034.0,6.4311594202898545,897.0,18.84057971014493
"Taylor County, WI",21-22,119,55,103,110.0,-6.36363636363636,-7.0,622.0,41.248817407757805,696.0,34.24787133396405,,,,,,,,151.0,-31.78807947019867,-48.0,566.0,48.822463768115945,807.0,26.992753623188403
"Tazewell County, IL",21-22,179,17,418,625.0,-33.120000000000005,-207.0,934.0,11.731315042573321,975.0,7.852412488174078,671.0,-37.704918032786885,-253.0,891.0,17.286245353159853,963.0,10.594795539033457,840.0,-50.23809523809524,-422.0,884.0,20.018115942028984,997.0,9.782608695652174
"Terrebonne Parish, LA",21-22,109,22,2081,1044.0,99.32950191570882,1037.0,36.0,96.68874172185431,41.0,96.21570482497634,2077.0,0.1925854597977894,4.0,422.0,60.87360594795539,462.0,57.15613382899628,2458.0,-15.337672904800648,-377.0,868.0,21.467391304347828,574.0,48.09782608695652
"Thomas County, KS",21-22,193,20,103,100.0,3.0000000000000027,3.0,532.0,49.76348155156102,490.0,53.736991485335864,110.0,-6.36363636363636,-7.0,525.0,51.301115241635685,594.0,44.888475836431226,129.0,-20.155038759689926,-26.0,470.0,57.51811594202898,641.0,42.028985507246375
"Thurston County, NE",21-22,173,31,102,,,,,,,,94.0,8.51063829787233,8.0,403.0,62.639405204460964,341.0,68.40148698884758,116.0,-12.06896551724138,-14.0,415.0,62.5,518.0,53.17028985507246
