County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Colfax County, NE",21-22,37,31,40,42.0,-4.761904761904767,-2.0,581.0,45.127719962157045,664.0,37.27530747398297,49.0,-18.36734693877551,-9.0,543.0,49.628252788104085,785.0,27.137546468401485,90.0,-55.55555555555556,-50.0,571.0,48.369565217391305,1033.0,6.521739130434782
"Collier County, FL",21-22,21,12,1235,1267.0,-2.52565114443567,-32.0,765.0,27.71996215704825,617.0,41.72185430463576,1232.0,0.24350649350648457,3.0,432.0,59.94423791821561,459.0,57.43494423791822,1267.0,-2.52565114443567,-32.0,496.0,55.16304347826087,380.0,65.67028985507247
"Collin County, TX",21-22,85,48,1099,1647.0,-33.27261687917426,-548.0,1002.0,5.298013245033113,977.0,7.663197729422895,2451.0,-55.161158710730305,-1352.0,1032.0,4.182156133828997,1039.0,3.5315985130111525,2604.0,-57.79569892473118,-1505.0,1021.0,7.608695652173914,1045.0,5.434782608695652
"Colorado County, TX",21-22,89,48,264,305.0,-13.442622950819672,-41.0,801.0,24.314096499526965,825.0,22.043519394512774,287.0,-8.013937282229966,-23.0,632.0,41.35687732342008,625.0,42.00743494423792,287.0,-8.013937282229966,-23.0,455.0,58.87681159420289,453.0,59.05797101449275
"Columbia County, FL",21-22,23,12,110,127.0,-13.38582677165354,-17.0,696.0,34.24787133396405,822.0,22.327341532639547,141.0,-21.98581560283688,-31.0,660.0,38.7546468401487,827.0,23.234200743494423,94.0,17.021276595744684,16.0,265.0,76.08695652173914,194.0,82.51811594202898
"Columbia County, WI",21-22,21,55,271,270.0,0.37037037037037646,1.0,553.0,47.776726584673604,553.0,47.776726584673604,243.0,11.522633744855959,28.0,297.0,72.4907063197026,305.0,71.74721189591078,245.0,10.612244897959178,26.0,222.0,79.98188405797102,238.0,78.53260869565217
"Columbiana County, OH",21-22,29,39,128,,,,,,,,103.0,24.271844660194162,25.0,306.0,71.6542750929368,192.0,82.24907063197026,140.0,-8.571428571428575,-12.0,407.0,63.22463768115942,463.0,58.152173913043484
"Comal County, TX",21-22,91,48,557,589.0,-5.432937181663833,-32.0,765.0,27.71996215704825,676.0,36.14001892147588,568.0,-1.9366197183098621,-11.0,550.0,48.97769516728624,510.0,52.69516728624535,305.0,82.62295081967213,252.0,52.0,95.38043478260869,38.0,96.64855072463769
"Contra Costa County, CA",21-22,13,6,7033,6270.0,12.169059011164274,763.0,49.0,95.45884578997162,335.0,68.40113528855251,6207.0,13.307555985178032,826.0,28.0,97.4907063197026,284.0,73.69888475836431,7491.0,-6.114003470831664,-458.0,897.0,18.84057971014493,427.0,61.41304347826087
"Conway County, AR",21-22,29,5,259,266.0,-2.631578947368418,-7.0,622.0,41.248817407757805,623.0,41.15421002838222,,,,,,,,224.0,15.625,35.0,198.0,82.15579710144928,203.0,81.70289855072464
"Cook County, IL",21-22,31,17,46267,47654.0,-2.910563646283626,-1387.0,1047.0,1.0406811731315044,631.0,40.397350993377486,55580.0,-16.756027347966896,-9313.0,1076.0,0.09293680297397769,763.0,29.182156133828997,76467.0,-39.494160879856665,-30200.0,1104.0,0.09057971014492754,892.0,19.293478260869566
"Cooke County, TX",21-22,97,48,327,361.0,-9.418282548476453,-34.0,775.0,26.773888363292336,755.0,28.666035950804165,158.0,106.9620253164557,169.0,136.0,87.45353159851301,39.0,96.46840148698885,378.0,-13.492063492063489,-51.0,574.0,48.09782608695652,550.0,50.27173913043478
"Cooper County, MO",21-22,53,29,286,261.0,9.578544061302674,25.0,363.0,65.75212866603594,372.0,64.90066225165563,262.0,9.160305343511443,24.0,311.0,71.18959107806691,334.0,69.05204460966543,275.0,4.0000000000000036,11.0,284.0,74.36594202898551,293.0,73.55072463768117
"Coos County, NH",21-22,7,33,62,,,,,,,,,,,,,,,,,,,,,
"Cortland County, NY",21-22,23,36,141,121.0,16.528925619834702,20.0,388.0,63.386944181646165,282.0,73.41532639545885,138.0,2.1739130434782705,3.0,432.0,59.94423791821561,420.0,61.05947955390335,210.0,-32.85714285714286,-69.0,623.0,43.65942028985507,818.0,25.996376811594203
"Coshocton County, OH",21-22,31,39,205,203.0,0.9852216748768461,2.0,541.0,48.912015137180695,535.0,49.47965941343425,140.0,46.428571428571416,65.0,219.0,79.73977695167285,113.0,89.59107806691449,70.0,192.85714285714283,135.0,89.0,92.02898550724638,4.0,99.72826086956522
"Cowlitz County, WA",21-22,15,53,157,,,,,,,,149.0,5.369127516778516,8.0,403.0,62.639405204460964,381.0,64.68401486988847,174.0,-9.77011494252874,-17.0,429.0,61.23188405797102,485.0,56.15942028985508
"Craighead County, AR",21-22,31,5,128,134.0,-4.477611940298509,-6.0,618.0,41.62724692526017,657.0,37.93755912961211,107.0,19.626168224299057,21.0,325.0,69.88847583643123,236.0,78.15985130111525,124.0,3.2258064516129004,4.0,316.0,71.46739130434783,299.0,73.0072463768116
"Craven County, NC",21-22,49,37,384,320.0,19.999999999999996,64.0,276.0,73.9829706717124,248.0,76.63197729422895,310.0,23.870967741935488,74.0,208.0,80.76208178438662,195.0,81.97026022304833,242.0,58.67768595041323,142.0,85.0,92.3913043478261,63.0,94.38405797101449
"Crawford County, IA",21-22,47,19,127,127.0,0.0,0.0,560.0,47.11447492904446,560.0,47.11447492904446,,,,,,,,65.0,95.38461538461537,62.0,142.0,87.22826086956522,26.0,97.73550724637681
"Crawford County, KS",21-22,37,20,492,817.0,-39.779681762545906,-325.0,960.0,9.271523178807946,1005.0,5.014191106906338,216.0,127.77777777777777,276.0,100.0,90.79925650557621,32.0,97.11895910780669,603.0,-18.40796019900498,-111.0,705.0,36.231884057971016,618.0,44.11231884057971
"Crawford County, MO",21-22,55,29,18,,,,,,,,,,,,,,,51.0,-64.70588235294117,-33.0,501.0,54.710144927536234,1076.0,2.6268115942028984
"Crawford County, OH",21-22,33,39,120,152.0,-21.052631578947366,-32.0,765.0,27.71996215704825,901.0,14.853358561967834,97.0,23.71134020618557,23.0,318.0,70.53903345724906,196.0,81.87732342007436,326.0,-63.190184049079754,-206.0,786.0,28.894927536231883,1070.0,3.170289855072464
"Crawford County, PA",21-22,39,42,150,139.0,7.913669064748197,11.0,443.0,58.18353831598865,394.0,62.819299905392626,,,,,,,,186.0,-19.354838709677423,-36.0,517.0,53.2608695652174,633.0,42.7536231884058
"Crawford County, WI",21-22,23,55,122,89.0,37.07865168539326,33.0,335.0,68.40113528855251,145.0,86.37653736991486,115.0,6.08695652173914,7.0,412.0,61.80297397769516,369.0,65.79925650557621,167.0,-26.94610778443114,-45.0,553.0,50.0,743.0,32.789855072463766
"Crittenden County, AR",21-22,35,5,100,120.0,-16.666666666666664,-20.0,714.0,32.544938505203405,853.0,19.394512771996215,138.0,-27.536231884057973,-38.0,680.0,36.89591078066915,882.0,18.12267657992565,85.0,17.647058823529417,15.0,269.0,75.72463768115942,191.0,82.78985507246377
"Crow Wing County, MN",21-22,35,27,235,220.0,6.818181818181812,15.0,418.0,60.54872280037843,417.0,60.64333017975402,240.0,-2.083333333333337,-5.0,512.0,52.5092936802974,519.0,51.85873605947955,233.0,0.8583690987124415,2.0,332.0,70.01811594202898,333.0,69.92753623188406
"Cullman County, AL",21-22,43,1,264,331.0,-20.241691842900302,-67.0,852.0,19.489120151371807,893.0,15.610217596972564,367.0,-28.06539509536785,-103.0,800.0,25.743494423791823,887.0,17.657992565055764,307.0,-14.006514657980452,-43.0,544.0,50.815217391304344,563.0,49.094202898550726
"Culpeper County, VA",21-22,47,51,178,173.0,2.8901734104046284,5.0,505.0,52.317880794701985,493.0,53.453169347209084,163.0,9.202453987730053,15.0,355.0,67.1003717472119,333.0,69.14498141263941,119.0,49.57983193277311,59.0,147.0,86.77536231884058,81.0,92.7536231884058
"Cumberland County, ME",21-22,5,23,978,820.0,19.268292682926823,158.0,186.0,82.49763481551561,253.0,76.15894039735099,927.0,5.501618122977336,51.0,248.0,77.04460966542752,378.0,64.96282527881041,1410.0,-30.638297872340424,-432.0,887.0,19.746376811594203,789.0,28.6231884057971
"Cumberland County, NC",21-22,51,37,331,322.0,2.795031055900621,9.0,460.0,56.5752128666036,498.0,52.980132450331126,331.0,0.0,0.0,463.0,57.06319702602231,463.0,57.06319702602231,410.0,-19.268292682926823,-79.0,651.0,41.1231884057971,631.0,42.934782608695656
"Cumberland County, NJ",21-22,11,34,178,142.0,25.35211267605635,36.0,321.0,69.72563859981078,202.0,80.98391674550615,139.0,28.057553956834536,39.0,266.0,75.37174721189591,178.0,83.55018587360595,623.0,-71.42857142857143,-445.0,892.0,19.293478260869566,1094.0,0.9963768115942028
"Cumberland County, PA",21-22,41,42,779,1321.0,-41.02952308856926,-542.0,999.0,5.581835383159887,1009.0,4.635761589403973,1814.0,-57.05622932745313,-1035.0,1007.0,6.5055762081784385,1044.0,3.066914498141264,1956.0,-60.17382413087935,-1177.0,998.0,9.692028985507246,1057.0,4.3478260869565215
"Cuming County, NE",21-22,39,31,385,251.0,53.38645418326693,134.0,201.0,81.07852412488174,105.0,90.1608325449385,774.0,-50.25839793281654,-389.0,932.0,13.475836431226766,1024.0,4.925650557620818,335.0,14.925373134328357,50.0,166.0,85.05434782608695,209.0,81.15942028985508
"Custer County, MT",21-22,17,30,158,169.0,-6.508875739644971,-11.0,655.0,38.12677388836329,700.0,33.86944181646168,160.0,-1.2499999999999956,-2.0,489.0,54.646840148698885,493.0,54.27509293680297,81.0,95.06172839506173,77.0,120.0,89.22101449275362,27.0,97.64492753623189
"Cuyahoga County, OH",21-22,35,39,19923,18169.0,9.653805933182902,1754.0,13.0,98.86471144749291,371.0,64.99526963103122,21330.0,-6.596343178621655,-1407.0,1034.0,3.9962825278810405,600.0,44.330855018587364,25382.0,-21.50736742573477,-5459.0,1093.0,1.0869565217391304,664.0,39.94565217391305
"Dakota County, MN",21-22,37,27,2568,1131.0,127.05570291777187,1437.0,16.0,98.58088930936613,25.0,97.7294228949858,2403.0,6.866416978776524,165.0,139.0,87.17472118959108,361.0,66.54275092936803,3775.0,-31.973509933774835,-1207.0,1003.0,9.239130434782608,809.0,26.811594202898554
"Dakota County, NE",21-22,43,31,180,166.0,8.43373493975903,14.0,429.0,59.508041627246925,387.0,63.48155156102177,164.0,9.756097560975618,16.0,351.0,67.4721189591078,322.0,70.16728624535315,169.0,6.5088757396449815,11.0,284.0,74.36594202898551,277.0,75.0
"Dallas County, IA",21-22,49,19,847,770.0,10.000000000000009,77.0,258.0,75.68590350047305,367.0,65.37369914853357,143.0,492.3076923076923,704.0,36.0,96.74721189591078,5.0,99.62825278810409,890.0,-4.831460674157306,-43.0,544.0,50.815217391304344,405.0,63.40579710144928
"Dallas County, TX",21-22,113,48,10192,8892.0,14.619883040935665,1300.0,22.0,98.01324503311258,305.0,71.23935666982024,11258.0,-9.468822170900692,-1066.0,1011.0,6.133828996282528,652.0,39.498141263940525,10819.0,-5.795360014788797,-627.0,936.0,15.307971014492756,419.0,62.13768115942029
"Dane County, WI",21-22,25,55,3207,2681.0,19.619544945915713,526.0,77.0,92.80983916745507,251.0,76.34815515610217,2500.0,28.279999999999994,707.0,35.0,96.84014869888475,175.0,83.82899628252788,3827.0,-16.200679383328975,-620.0,932.0,15.670289855072465,593.0,46.3768115942029
"Danville City, VA",21-22,590,51,150,174.0,-13.793103448275868,-24.0,728.0,31.22043519394513,828.0,21.759697256385998,167.0,-10.179640718562876,-17.0,594.0,44.888475836431226,669.0,37.9182156133829,182.0,-17.582417582417587,-32.0,496.0,55.16304347826087,605.0,45.289855072463766
"Darke County, OH",21-22,37,39,102,97.0,5.154639175257736,5.0,505.0,52.317880794701985,452.0,57.33207190160833,115.0,-11.304347826086957,-13.0,567.0,47.39776951672863,682.0,36.71003717472119,116.0,-12.06896551724138,-14.0,415.0,62.5,518.0,53.17028985507246
"Dauphin County, PA",21-22,43,42,2395,2671.0,-10.33320853612879,-276.0,949.0,10.312204351939451,770.0,27.246925260170297,1375.0,74.18181818181817,1020.0,14.0,98.7918215613383,71.0,93.49442379182156,2405.0,-0.4158004158004158,-10.0,390.0,64.76449275362319,355.0,67.93478260869566
"Davidson County, TN",21-22,37,47,3104,3138.0,-1.08349267049076,-34.0,775.0,26.773888363292336,588.0,44.46546830652791,3095.0,0.2907915993537902,9.0,391.0,63.7546468401487,458.0,57.52788104089219,3236.0,-4.0791100123609425,-132.0,727.0,34.23913043478261,395.0,64.31159420289855
"Daviess County, IN",21-22,27,18,488,432.0,12.962962962962955,56.0,285.0,73.13150425733207,324.0,69.44181646168401,488.0,0.0,0.0,463.0,57.06319702602231,463.0,57.06319702602231,128.0,281.25,360.0,30.0,97.37318840579711,3.0,99.81884057971014
"Daviess County, KY",21-22,59,21,1743,1420.0,22.74647887323944,323.0,120.0,88.74172185430463,224.0,78.90255439924314,1438.0,21.21001390820585,305.0,88.0,91.91449814126395,213.0,80.29739776951673,1895.0,-8.021108179419523,-152.0,750.0,32.155797101449274,454.0,58.96739130434783
"Davis County, UT",21-22,11,49,181,116.0,56.03448275862068,65.0,272.0,74.36140018921475,100.0,90.63386944181646,156.0,16.025641025641036,25.0,306.0,71.6542750929368,262.0,75.74349442379183,138.0,31.159420289855078,43.0,174.0,84.32971014492753,133.0,88.04347826086956
"Davison County, SD",21-22,35,46,122,159.0,-23.27044025157232,-37.0,788.0,25.543992431409652,919.0,13.150425733207191,180.0,-32.22222222222222,-58.0,727.0,32.52788104089219,920.0,14.591078066914498,226.0,-46.01769911504425,-104.0,694.0,37.22826086956522,950.0,14.03985507246377
"Deaf Smith County, TX",21-22,117,48,75,101.0,-25.742574257425744,-26.0,738.0,30.274361400189214,936.0,11.542100283822137,110.0,-31.818181818181824,-35.0,672.0,37.63940520446097,914.0,15.148698884758364,100.0,-25.0,-25.0,464.0,58.06159420289855,714.0,35.41666666666667
"Dearborn County, IN",21-22,29,18,269,228.0,17.982456140350877,41.0,309.0,70.86092715231787,268.0,74.73982970671712,276.0,-2.536231884057971,-7.0,525.0,51.301115241635685,525.0,51.301115241635685,407.0,-33.90663390663391,-138.0,736.0,33.42391304347826,828.0,25.09057971014493
"Decatur County, IN",21-22,31,18,336,340.0,-1.17647058823529,-4.0,597.0,43.614001892147584,593.0,43.99243140964995,327.0,2.752293577981657,9.0,391.0,63.7546468401487,409.0,62.0817843866171,191.0,75.91623036649216,145.0,81.0,92.7536231884058,41.0,96.37681159420289
"Defiance County, OH",21-22,39,39,101,112.0,-9.82142857142857,-11.0,655.0,38.12677388836329,761.0,28.098391674550616,,,,,,,,139.0,-27.338129496402875,-38.0,526.0,52.44565217391305,750.0,32.155797101449274
"Dekalb County, GA",21-22,89,13,3932,3848.0,2.1829521829521914,84.0,251.0,76.34815515610217,509.0,51.93945127719962,3231.0,21.696069328381306,701.0,37.0,96.6542750929368,209.0,80.66914498141264,3858.0,1.9180922757905616,74.0,124.0,88.8586956521739,313.0,71.73913043478261
"Dekalb County, IL",21-22,37,17,149,173.0,-13.8728323699422,-24.0,728.0,31.22043519394513,830.0,21.570482497634817,386.0,-61.398963730569946,-237.0,880.0,18.308550185873607,1055.0,2.0446096654275094,468.0,-68.16239316239316,-319.0,841.0,23.91304347826087,1087.0,1.6304347826086956
"Dekalb County, IN",21-22,33,18,97,108.0,-10.185185185185187,-11.0,655.0,38.12677388836329,767.0,27.530747398297066,93.0,4.3010752688172005,4.0,422.0,60.87360594795539,393.0,63.56877323420075,110.0,-11.818181818181817,-13.0,409.0,63.04347826086957,508.0,54.07608695652174
"Delaware County, IA",21-22,55,19,236,217.0,8.75576036866359,19.0,391.0,63.1031220435194,385.0,63.670766319772945,235.0,0.42553191489360653,1.0,454.0,57.899628252788105,456.0,57.71375464684015,,,,,,,
"Delaware County, IN",21-22,35,18,380,48.0,691.6666666666667,332.0,119.0,88.83632923368022,1.0,100.0,56.0,578.5714285714286,324.0,82.0,92.4721189591078,3.0,99.81412639405205,265.0,43.39622641509433,115.0,99.0,91.12318840579711,95.0,91.48550724637681
"Delaware County, OH",21-22,41,39,1200,1218.0,-1.4778325123152691,-18.0,703.0,33.58561967833491,598.0,43.519394512771996,1219.0,-1.5586546349466768,-19.0,610.0,43.40148698884758,497.0,53.90334572490706,1247.0,-3.7690457097032892,-47.0,563.0,49.094202898550726,390.0,64.76449275362319
"Delaware County, PA",21-22,45,42,9419,7741.0,21.67678594496836,1678.0,14.0,98.77010406811732,235.0,77.86187322611163,7574.0,24.359651439133877,1845.0,4.0,99.72118959107806,190.0,82.43494423791822,10317.0,-8.704080643597944,-898.0,976.0,11.684782608695652,467.0,57.789855072463766
"Delta County, MI",21-22,41,26,282,329.0,-14.28571428571429,-47.0,816.0,22.894985808893093,836.0,21.002838221381268,296.0,-4.729729729729726,-14.0,574.0,46.74721189591078,563.0,47.76951672862453,285.0,-1.0526315789473717,-3.0,360.0,67.48188405797102,362.0,67.30072463768117
"Denton County, TX",21-22,121,48,391,417.0,-6.235011990407669,-26.0,738.0,30.274361400189214,693.0,34.53169347209082,408.0,-4.1666666666666625,-17.0,594.0,44.888475836431226,551.0,48.88475836431227,253.0,54.54545454545454,138.0,87.0,92.21014492753623,76.0,93.20652173913044
"Denver County, CO",21-22,31,8,4213,4359.0,-3.3493920623996365,-146.0,906.0,14.380321665089877,636.0,39.92431409649952,3750.0,12.34666666666666,463.0,58.0,94.70260223048327,298.0,72.39776951672863,5150.0,-18.194174757281555,-937.0,981.0,11.231884057971014,614.0,44.474637681159415
"Des Moines County, IA",21-22,57,19,669,922.0,-27.440347071583517,-253.0,940.0,11.163670766319774,947.0,10.501419110690634,858.0,-22.02797202797203,-189.0,853.0,20.817843866171003,829.0,23.04832713754647,446.0,50.0,223.0,56.0,95.01811594202898,78.0,93.02536231884058
"Deschutes County, OR",21-22,17,41,321,290.0,10.689655172413804,31.0,342.0,67.73888363292336,362.0,65.84673604541155,194.0,65.46391752577318,127.0,163.0,84.94423791821562,80.0,92.65799256505576,51.0,529.4117647058823,270.0,46.0,95.92391304347827,1.0,100.0
"Dewitt County, TX",21-22,123,48,87,83.0,4.819277108433728,4.0,519.0,50.993377483443716,462.0,56.38599810785241,111.0,-21.62162162162162,-24.0,638.0,40.79925650557621,824.0,23.513011152416357,73.0,19.17808219178083,14.0,271.0,75.54347826086956,181.0,83.69565217391305
"Dickinson County, KS",21-22,41,20,110,121.0,-9.090909090909093,-11.0,655.0,38.12677388836329,751.0,29.04446546830653,112.0,-1.7857142857142905,-2.0,489.0,54.646840148698885,503.0,53.3457249070632,120.0,-8.333333333333337,-10.0,390.0,64.76449275362319,459.0,58.514492753623195
"Dickinson County, MI",21-22,43,26,107,167.0,-35.928143712574844,-60.0,844.0,20.245979186376537,991.0,6.338694418164617,177.0,-39.548022598870055,-70.0,755.0,29.92565055762082,973.0,9.66542750929368,74.0,44.594594594594604,33.0,202.0,81.79347826086956,92.0,91.7572463768116
"District Of Columbia, DC",21-22,1,11,6125,5029.0,21.793597136607666,1096.0,30.0,97.25638599810786,234.0,77.95648060548723,4778.0,28.19171201339472,1347.0,9.0,99.25650557620817,176.0,83.7360594795539,6166.0,-0.6649367499189096,-41.0,535.0,51.63043478260869,358.0,67.66304347826086
"Dodge County, NE",21-22,53,31,29,45.0,-35.55555555555555,-16.0,692.0,34.62630085146641,990.0,6.433301797540208,480.0,-93.95833333333333,-451.0,947.0,12.0817843866171,1076.0,0.09293680297397769,492.0,-94.10569105691057,-463.0,901.0,18.478260869565215,1104.0,0.09057971014492754
"Dodge County, WI",21-22,27,55,227,168.0,35.11904761904763,59.0,281.0,73.50993377483444,153.0,85.61967833491012,204.0,11.274509803921573,23.0,318.0,70.53903345724906,308.0,71.46840148698885,341.0,-33.431085043988276,-114.0,709.0,35.869565217391305,824.0,25.45289855072464
"Door County, WI",21-22,29,55,130,129.0,0.7751937984496138,1.0,553.0,47.776726584673604,539.0,49.10122989593188,120.0,8.333333333333325,10.0,385.0,64.31226765799256,342.0,68.3085501858736,116.0,12.06896551724137,14.0,271.0,75.54347826086956,219.0,80.2536231884058
"Dorchester County, SC",21-22,35,45,214,178.0,20.2247191011236,36.0,321.0,69.72563859981078,247.0,76.72658467360453,177.0,20.903954802259882,37.0,272.0,74.81412639405205,216.0,80.0185873605948,227.0,-5.726872246696035,-13.0,409.0,63.04347826086957,418.0,62.22826086956522
"Dougherty County, GA",21-22,95,13,136,151.0,-9.93377483443708,-15.0,685.0,35.28855250709555,763.0,27.90917691579943,127.0,7.086614173228356,9.0,391.0,63.7546468401487,359.0,66.72862453531599,158.0,-13.924050632911388,-22.0,453.0,59.05797101449275,557.0,49.63768115942029
"Douglas County, CO",21-22,35,8,499,429.0,16.317016317016318,70.0,266.0,74.92904446546831,286.0,73.03689687795648,438.0,13.926940639269404,61.0,225.0,79.182156133829,279.0,74.1635687732342,490.0,1.8367346938775508,9.0,294.0,73.46014492753623,314.0,71.64855072463769
"Douglas County, KS",21-22,45,20,626,611.0,2.454991816693952,15.0,418.0,60.54872280037843,504.0,52.41248817407757,622.0,0.6430868167202508,4.0,422.0,60.87360594795539,454.0,57.899628252788105,567.0,10.405643738977076,59.0,147.0,86.77536231884058,240.0,78.35144927536231
"Douglas County, MN",21-22,41,27,293,237.0,23.628691983122362,56.0,285.0,73.13150425733207,214.0,79.84862819299904,199.0,47.23618090452262,94.0,185.0,82.8996282527881,108.0,90.05576208178438,263.0,11.406844106463886,30.0,211.0,80.97826086956522,225.0,79.71014492753623
"Douglas County, NE",21-22,55,31,10946,9578.0,14.282731259135527,1368.0,19.0,98.29706717123936,308.0,70.95553453169347,12026.0,-8.980542158656245,-1080.0,1016.0,5.669144981412639,645.0,40.14869888475837,13586.0,-19.431767996466952,-2640.0,1054.0,4.619565217391304,634.0,42.66304347826087
"Douglas County, WI",21-22,31,55,143,177.0,-19.2090395480226,-34.0,775.0,26.773888363292336,885.0,16.367076631977294,191.0,-25.130890052356026,-48.0,705.0,34.572490706319705,866.0,19.60966542750929,291.0,-50.85910652920962,-148.0,745.0,32.608695652173914,1001.0,9.420289855072465
"Doña Ana County, NM",21-22,13,35,283,,,,,,,,277.0,2.166064981949467,6.0,418.0,61.2453531598513,421.0,60.966542750929364,266.0,6.390977443609014,17.0,259.0,76.63043478260869,278.0,74.90942028985508
"Dubois County, IN",21-22,37,18,923,994.0,-7.14285714285714,-71.0,857.0,19.01608325449385,711.0,32.82876064333018,766.0,20.496083550913834,157.0,145.0,86.61710037174721,221.0,79.5539033457249,487.0,89.5277207392197,436.0,25.0,97.82608695652173,32.0,97.19202898550725
"Dubuque County, IA",21-22,61,19,2433,2276.0,6.8980667838312915,157.0,187.0,82.40302743614002,414.0,60.9271523178808,3359.0,-27.567728490622212,-926.0,1000.0,7.156133828996282,883.0,18.029739776951672,4126.0,-41.03247697527872,-1693.0,1028.0,6.974637681159421,908.0,17.844202898550723
"Dunklin County, MO",21-22,69,29,88,70.0,25.71428571428571,18.0,400.0,62.251655629139066,201.0,81.07852412488174,65.0,35.384615384615394,23.0,318.0,70.53903345724906,146.0,86.52416356877323,65.0,35.384615384615394,23.0,231.0,79.16666666666666,121.0,89.13043478260869
"Dunn County, WI",21-22,33,55,78,133.0,-41.35338345864662,-55.0,830.0,21.570482497634817,1010.0,4.541154210028382,143.0,-45.45454545454546,-65.0,745.0,30.855018587360593,1008.0,6.412639405204461,129.0,-39.53488372093024,-51.0,574.0,48.09782608695652,893.0,19.202898550724637
"Dupage County, IL",21-22,43,17,7799,6023.0,29.486966627926293,1776.0,11.0,99.05392620624409,181.0,82.97067171239357,8847.0,-11.845823442975023,-1048.0,1009.0,6.319702602230483,690.0,35.96654275092937,12596.0,-38.08351857732614,-4797.0,1089.0,1.4492753623188406,871.0,21.195652173913043
"Durham County, NC",21-22,63,37,523,550.0,-4.909090909090907,-27.0,741.0,29.990539262062445,670.0,36.707663197729424,,,,,,,,367.0,42.506811989100825,156.0,77.0,93.11594202898551,96.0,91.39492753623189
"Dutchess County, NY",21-22,27,36,1599,903.0,77.07641196013289,696.0,57.0,94.70198675496688,64.0,94.03973509933775,812.0,96.92118226600985,787.0,29.0,97.39776951672863,44.0,96.00371747211895,2527.0,-36.72338741590819,-928.0,980.0,11.322463768115941,854.0,22.735507246376812
"Duval County, FL",21-22,31,12,5907,4717.0,25.22789908840364,1190.0,26.0,97.63481551561021,203.0,80.88930936613056,6985.0,-15.43307086614173,-1078.0,1015.0,5.762081784386617,737.0,31.59851301115242,6898.0,-14.366483038561906,-991.0,987.0,10.68840579710145,567.0,48.731884057971016
"Eagle County, CO",21-22,37,8,115,125.0,-7.9999999999999964,-10.0,645.0,39.0728476821192,723.0,31.693472090823082,122.0,-5.737704918032782,-7.0,525.0,51.301115241635685,580.0,46.18959107806692,157.0,-26.751592356687905,-42.0,540.0,51.177536231884055,739.0,33.15217391304348
"East Baton Rouge Parish, LA",21-22,33,22,7613,6549.0,16.246755229806077,1064.0,33.0,96.97256385998108,288.0,72.84768211920529,9138.0,-16.688553293937403,-1525.0,1036.0,3.8104089219330852,760.0,29.460966542750928,7658.0,-0.5876207887176799,-45.0,553.0,50.0,357.0,67.7536231884058
"Eaton County, MI",21-22,45,26,295,610.0,-51.63934426229508,-315.0,957.0,9.555345316934721,1034.0,2.270577105014191,761.0,-61.23521681997373,-466.0,948.0,11.988847583643123,1054.0,2.137546468401487,798.0,-63.03258145363409,-503.0,909.0,17.753623188405797,1069.0,3.260869565217391
"Eau Claire County, WI",21-22,35,55,1651,1644.0,0.42579075425790425,7.0,478.0,54.87228003784295,549.0,48.15515610217597,1881.0,-12.22753854332802,-230.0,876.0,18.680297397769515,698.0,35.22304832713755,876.0,88.4703196347032,775.0,11.0,99.09420289855072,33.0,97.10144927536231
"Ector County, TX",21-22,135,48,219,277.0,-20.938628158844764,-58.0,838.0,20.813623462630083,897.0,15.2317880794702,323.0,-32.19814241486068,-104.0,801.0,25.650557620817843,918.0,14.776951672862454,210.0,4.285714285714293,9.0,294.0,73.46014492753623,291.0,73.73188405797102
"Effingham County, IL",21-22,49,17,419,890.0,-52.92134831460674,-471.0,993.0,6.149479659413434,1036.0,2.081362346263009,919.0,-54.4069640914037,-500.0,954.0,11.431226765799256,1034.0,3.9962825278810405,715.0,-41.3986013986014,-296.0,833.0,24.637681159420293,916.0,17.119565217391305
"El Dorado County, CA",21-22,17,6,190,217.0,-12.442396313364057,-27.0,741.0,29.990539262062445,807.0,23.746452223273415,265.0,-28.301886792452834,-75.0,763.0,29.182156133828997,889.0,17.472118959107807,436.0,-56.42201834862386,-246.0,807.0,26.992753623188403,1039.0,5.978260869565218
"El Paso County, CO",21-22,41,8,694,1057.0,-34.342478713339645,-363.0,970.0,8.325449385052035,984.0,7.000946073793755,1053.0,-34.09306742640076,-359.0,922.0,14.405204460966543,936.0,13.104089219330856,1097.0,-36.736554238833186,-403.0,878.0,20.56159420289855,856.0,22.554347826086957
