Diocese,School Year,21-22 Enrollment,19-20 Enrollment,19-20 to 21-22 Enrollment % Change,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,19-20 to 21-22 Enrollment % Change Rank,19-20 to 21-22 Enrollment % Change Percentile,17-18 Enrollment,17-18 to 21-22 Enrollment % Change,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,17-18 to 21-22 Enrollment % Change Rank,17-18 to 21-22 Enrollment % Change Percentile,11-12 Enrollment,11-12 to 21-22 Enrollment % Change,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,11-12 to 21-22 Enrollment % Change Rank,11-12 to 21-22 Enrollment % Change Percentile
"Kansas City, KS",21-22,10863,10406,4.391697097828184,457,63.0,64.57142857142857,88.0,50.28571428571429,12386,-12.296140804133703,-1523,132.0,25.142857142857146,109.0,38.285714285714285,14017,-22.501248483983737,-3154,132.0,25.142857142857146,101.0,42.857142857142854
"Kansas City-St. Joseph, MO",21-22,9038,7583,19.187656600290115,1455,20.0,89.14285714285714,35.0,80.57142857142857,9091,-0.5829941700583041,-53,75.0,57.714285714285715,72.0,59.42857142857143,10820,-16.46950092421442,-1782,102.0,42.285714285714285,71.0,60.0
"Knoxville, TN",21-22,2657,2043,30.05384238864415,614,54.0,69.71428571428572,17.0,90.85714285714286,2481,7.093913744457869,176,50.0,72.0,42.0,76.57142857142857,3516,-24.431171786120586,-859,75.0,57.714285714285715,107.0,39.42857142857143
"La Crosse, WI",21-22,9193,8629,6.536099200370837,564,58.0,67.42857142857143,79.0,55.42857142857143,8159,12.673121706091429,1034,14.0,92.57142857142857,30.0,83.42857142857143,7943,15.737127030089383,1250,4.0,98.28571428571429,14.0,92.57142857142857
"Lafayette, IN",21-22,4823,4141,16.469451823231097,682,50.0,72.0,42.0,76.57142857142857,4557,5.837173579109067,266,41.0,77.14285714285715,46.0,74.28571428571429,5320,-9.342105263157896,-497,54.0,69.71428571428572,49.0,72.57142857142857
"Lafayette, LA",21-22,9349,9607,-2.6855417924430136,-258,126.0,28.57142857142857,120.0,32.0,11063,-15.493085058302448,-1714,136.0,22.857142857142858,118.0,33.14285714285714,13764,-32.07643126997966,-4415,148.0,16.0,127.0,28.000000000000004
"Lake Charles, LA",21-22,2053,2487,-17.450743868114195,-434,142.0,19.428571428571427,157.0,10.857142857142858,2691,-23.708658491267187,-638,112.0,36.57142857142857,148.0,16.0,2204,-6.851179673321239,-151,38.0,78.85714285714286,41.0,77.14285714285715
"Lansing, MI",21-22,6318,5697,10.90047393364928,621,53.0,70.28571428571428,60.0,66.28571428571428,8399,-24.77675913799262,-2081,143.0,18.857142857142858,153.0,13.142857142857142,8956,-29.455113890129525,-2638,122.0,30.857142857142854,122.0,30.857142857142854
"Laredo, TX",21-22,1597,948,68.45991561181435,649,51.0,71.42857142857143,6.0,97.14285714285714,1153,38.50823937554206,444,29.0,84.0,8.0,96.0,1748,-8.638443935926777,-151,38.0,78.85714285714286,46.0,74.28571428571429
"Las Cruces, NM",21-22,542,161,236.64596273291926,381,67.0,62.28571428571429,1.0,100.0,566,-4.240282685512364,-24,72.0,59.42857142857143,84.0,52.57142857142857,594,-8.754208754208758,-52,35.0,80.57142857142857,47.0,73.71428571428571
