County & State,School Year,County Code,State ANSI Code,Enrollment
"Ascension Parish, LA",17-18,5,22,825
"Ascension Parish, LA",19-20,5,22,405
"Ascension Parish, LA",21-22,5,22,413
"Ashland County, OH",11-12,5,39,143
"Ashland County, OH",13-14,5,39,154
"Ashland County, OH",15-16,5,39,175
"Ashland County, OH",17-18,5,39,172
"Ashland County, OH",19-20,5,39,141
"Ashland County, OH",21-22,5,39,105
"Ashland County, WI",11-12,3,55,161
"Ashland County, WI",13-14,3,55,133
"Ashland County, WI",15-16,3,55,108
"Ashland County, WI",17-18,3,55,125
"Ashland County, WI",19-20,3,55,127
"Ashland County, WI",21-22,3,55,124
"Ashtabula County, OH",11-12,7,39,673
"Ashtabula County, OH",13-14,7,39,721
"Ashtabula County, OH",15-16,7,39,413
"Ashtabula County, OH",17-18,7,39,404
"Ashtabula County, OH",21-22,7,39,496
"Asotin County, WA",11-12,3,53,117
"Asotin County, WA",13-14,3,53,117
"Asotin County, WA",15-16,3,53,112
"Asotin County, WA",17-18,3,53,126
"Asotin County, WA",19-20,3,53,122
"Asotin County, WA",21-22,3,53,152
"Assumption Parish, LA",11-12,7,22,248
"Assumption Parish, LA",13-14,7,22,212
"Assumption Parish, LA",17-18,7,22,236
"Assumption Parish, LA",19-20,7,22,209
"Assumption Parish, LA",21-22,7,22,168
"Atascosa County, TX",17-18,13,48,80
"Atascosa County, TX",19-20,13,48,77
"Atascosa County, TX",21-22,13,48,64
"Atchison County, KS",11-12,5,20,407
"Atchison County, KS",13-14,5,20,390
"Atchison County, KS",15-16,5,20,434
"Atchison County, KS",17-18,5,20,431
"Atchison County, KS",19-20,5,20,396
"Atchison County, KS",21-22,5,20,359
"Atlantic County, NJ",11-12,1,34,3561
"Atlantic County, NJ",13-14,1,34,3272
"Atlantic County, NJ",15-16,1,34,2598
"Atlantic County, NJ",17-18,1,34,2594
"Atlantic County, NJ",19-20,1,34,1341
"Atlantic County, NJ",21-22,1,34,1526
"Audrain County, MO",11-12,7,29,218
"Audrain County, MO",13-14,7,29,225
"Audrain County, MO",15-16,7,29,239
"Audrain County, MO",17-18,7,29,53
"Audrain County, MO",19-20,7,29,247
"Audrain County, MO",21-22,7,29,251
"Auglaize County, OH",11-12,11,39,129
"Auglaize County, OH",13-14,11,39,137
"Auglaize County, OH",15-16,11,39,133
"Auglaize County, OH",17-18,11,39,165
"Auglaize County, OH",19-20,11,39,172
"Auglaize County, OH",21-22,11,39,167
"Avoyelles Parish, LA",11-12,9,22,1043
"Avoyelles Parish, LA",13-14,9,22,1018
"Avoyelles Parish, LA",15-16,9,22,1064
"Avoyelles Parish, LA",17-18,9,22,1033
"Avoyelles Parish, LA",19-20,9,22,743
"Avoyelles Parish, LA",21-22,9,22,909
"Baldwin County, AL",11-12,3,1,867
"Baldwin County, AL",13-14,3,1,844
"Baldwin County, AL",15-16,3,1,608
"Baldwin County, AL",17-18,3,1,1060
"Baldwin County, AL",19-20,3,1,1164
"Baldwin County, AL",21-22,3,1,1125
"Baltimore City, MD",11-12,510,24,5824
"Baltimore City, MD",13-14,510,24,4545
"Baltimore City, MD",15-16,510,24,4822
"Baltimore City, MD",17-18,510,24,4240
"Baltimore City, MD",19-20,510,24,4274
"Baltimore City, MD",21-22,510,24,4999
"Baltimore County, MD",11-12,5,24,10849
"Baltimore County, MD",13-14,5,24,10009
"Baltimore County, MD",15-16,5,24,8873
"Baltimore County, MD",17-18,5,24,10057
"Baltimore County, MD",19-20,5,24,7942
"Baltimore County, MD",21-22,5,24,8975
"Bannock County, ID",11-12,5,16,189
"Bannock County, ID",13-14,5,16,204
"Bannock County, ID",15-16,5,16,197
"Bannock County, ID",17-18,5,16,177
"Bannock County, ID",19-20,5,16,150
"Bannock County, ID",21-22,5,16,136
"Baraga County, MI",11-12,13,26,32
"Baraga County, MI",13-14,13,26,37
"Baraga County, MI",15-16,13,26,61
"Baraga County, MI",17-18,13,26,53
"Baraga County, MI",19-20,13,26,49
"Baraga County, MI",21-22,13,26,52
"Barnes County, ND",11-12,3,38,58
"Barnes County, ND",13-14,3,38,52
"Barnes County, ND",17-18,3,38,40
"Barnes County, ND",19-20,3,38,46
"Barnes County, ND",21-22,3,38,48
"Barnstable County, MA",11-12,1,25,939
"Barnstable County, MA",13-14,1,25,945
"Barnstable County, MA",15-16,1,25,940
"Barnstable County, MA",17-18,1,25,598
"Barnstable County, MA",19-20,1,25,527
"Barnstable County, MA",21-22,1,25,876
"Barron County, WI",11-12,5,55,179
"Barron County, WI",13-14,5,55,173
"Barron County, WI",15-16,5,55,193
"Barron County, WI",17-18,5,55,149
"Barron County, WI",19-20,5,55,162
"Barron County, WI",21-22,5,55,152
"Barry County, MI",11-12,15,26,94
"Barry County, MI",13-14,15,26,75
"Barry County, MI",15-16,15,26,78
"Barry County, MI",17-18,15,26,70
"Barry County, MI",19-20,15,26,55
"Barry County, MI",21-22,15,26,65
"Barry County, MO",11-12,9,29,95
"Barry County, MO",13-14,9,29,87
"Barry County, MO",17-18,9,29,67
"Barry County, MO",21-22,9,29,82
"Bartholomew County, IN",11-12,5,18,360
"Bartholomew County, IN",13-14,5,18,351
"Bartholomew County, IN",15-16,5,18,372
"Bartholomew County, IN",17-18,5,18,387
"Bartholomew County, IN",19-20,5,18,403
"Bartholomew County, IN",21-22,5,18,359
"Barton County, KS",11-12,9,20,266
"Barton County, KS",13-14,9,20,250
"Barton County, KS",15-16,9,20,321
"Barton County, KS",17-18,9,20,73
"Barton County, KS",19-20,9,20,81
"Barton County, KS",21-22,9,20,238
"Bay County, FL",11-12,5,12,108
"Bay County, FL",13-14,5,12,178
"Bay County, FL",15-16,5,12,184
"Bay County, FL",17-18,5,12,280
"Bay County, FL",19-20,5,12,125
"Bay County, FL",21-22,5,12,124
"Bay County, MI",11-12,17,26,883
"Bay County, MI",13-14,17,26,618
"Bay County, MI",15-16,17,26,209
"Bay County, MI",17-18,17,26,245
"Bay County, MI",19-20,17,26,449
"Bay County, MI",21-22,17,26,379
"Beadle County, SD",11-12,5,46,155
"Beadle County, SD",13-14,5,46,172
"Beadle County, SD",15-16,5,46,173
"Beadle County, SD",17-18,5,46,153
"Beadle County, SD",19-20,5,46,132
"Beadle County, SD",21-22,5,46,141
"Beaufort County, SC",11-12,13,45,570
"Beaufort County, SC",13-14,13,45,540
"Beaufort County, SC",15-16,13,45,564
"Beaufort County, SC",17-18,13,45,624
"Beaufort County, SC",19-20,13,45,183
"Beaufort County, SC",21-22,13,45,363
"Beaver County, PA",11-12,7,42,813
"Beaver County, PA",13-14,7,42,588
"Beaver County, PA",15-16,7,42,543
"Beaver County, PA",17-18,7,42,559
"Beaver County, PA",19-20,7,42,512
"Beaver County, PA",21-22,7,42,422
"Becker County, MN",11-12,5,27,107
"Becker County, MN",13-14,5,27,128
"Becker County, MN",19-20,5,27,137
"Becker County, MN",21-22,5,27,154
"Bedford County, PA",11-12,9,42,41
"Bedford County, PA",13-14,9,42,60
"Bedford County, PA",15-16,9,42,67
"Bedford County, PA",17-18,9,42,42
"Belknap County, NH",11-12,1,33,150
"Belknap County, NH",13-14,1,33,127
"Belknap County, NH",15-16,1,33,87
"Belknap County, NH",17-18,1,33,83
"Belknap County, NH",19-20,1,33,92
"Bell County, KY",11-12,13,21,64
"Bell County, KY",13-14,13,21,29
"Bell County, KY",15-16,13,21,27
"Bell County, TX",11-12,27,48,423
"Bell County, TX",13-14,27,48,383
"Bell County, TX",15-16,27,48,377
"Bell County, TX",17-18,27,48,441
"Bell County, TX",19-20,27,48,111
"Bell County, TX",21-22,27,48,498
"Belmont County, OH",11-12,13,39,534
"Belmont County, OH",13-14,13,39,526
"Belmont County, OH",15-16,13,39,533
"Belmont County, OH",17-18,13,39,367
"Belmont County, OH",19-20,13,39,253
"Belmont County, OH",21-22,13,39,129
"Beltrami County, MN",11-12,7,27,365
"Beltrami County, MN",13-14,7,27,329
"Beltrami County, MN",15-16,7,27,365
"Beltrami County, MN",17-18,7,27,430
"Beltrami County, MN",19-20,7,27,340
"Beltrami County, MN",21-22,7,27,405
"Bennington County, VT",11-12,3,50,146
"Bennington County, VT",13-14,3,50,150
"Bennington County, VT",15-16,3,50,165
"Bennington County, VT",17-18,3,50,171
"Bennington County, VT",19-20,3,50,205
"Bennington County, VT",21-22,3,50,187
"Benton County, AR",11-12,7,5,316
"Benton County, AR",13-14,7,5,350
"Benton County, AR",15-16,7,5,361
"Benton County, AR",17-18,7,5,374
"Benton County, AR",19-20,7,5,392
"Benton County, AR",21-22,7,5,435
"Benton County, IN",11-12,7,18,117
"Benton County, IN",13-14,7,18,101
"Benton County, IN",17-18,7,18,86
"Benton County, IN",19-20,7,18,111
"Benton County, IN",21-22,7,18,117
"Benton County, MN",11-12,9,27,736
"Benton County, MN",13-14,9,27,651
"Benton County, MN",15-16,9,27,747
"Benton County, MN",17-18,9,27,724
"Benton County, MN",19-20,9,27,370
"Benton County, MN",21-22,9,27,295
"Benton County, WA",15-16,5,53,457
"Benton County, WA",17-18,5,53,681
"Benton County, WA",19-20,5,53,731
"Benton County, WA",21-22,5,53,750
"Bergen County, NJ",11-12,3,34,12201
"Bergen County, NJ",13-14,3,34,11984
"Bergen County, NJ",15-16,3,34,7574
"Bergen County, NJ",17-18,3,34,8845
"Bergen County, NJ",19-20,3,34,6683
"Bergen County, NJ",21-22,3,34,7069
"Berkeley County, SC",11-12,15,45,214
"Berkeley County, SC",13-14,15,45,90
"Berkeley County, SC",15-16,15,45,122
"Berkeley County, SC",17-18,15,45,142
"Berkeley County, SC",21-22,15,45,116
"Berkeley County, WV",11-12,3,54,306
"Berkeley County, WV",13-14,3,54,324
"Berkeley County, WV",15-16,3,54,313
"Berkeley County, WV",17-18,3,54,291
"Berkeley County, WV",19-20,3,54,220
"Berkeley County, WV",21-22,3,54,324
"Berks County, PA",11-12,11,42,1857
"Berks County, PA",13-14,11,42,1500
"Berks County, PA",15-16,11,42,2451
"Berks County, PA",17-18,11,42,2552
"Berks County, PA",19-20,11,42,2579
"Berks County, PA",21-22,11,42,2240
"Berkshire County, MA",11-12,3,25,697
"Berkshire County, MA",13-14,3,25,602
"Berkshire County, MA",15-16,3,25,518
"Berkshire County, MA",17-18,3,25,382
"Berkshire County, MA",19-20,3,25,305
"Berkshire County, MA",21-22,3,25,393
"Bernalillo County, NM",11-12,1,35,3223
"Bernalillo County, NM",13-14,1,35,2013
"Bernalillo County, NM",15-16,1,35,2468
"Bernalillo County, NM",17-18,1,35,2003
"Bernalillo County, NM",19-20,1,35,1850
"Bernalillo County, NM",21-22,1,35,2064
"Berrien County, MI",11-12,21,26,773
"Berrien County, MI",13-14,21,26,421
"Berrien County, MI",15-16,21,26,529
"Berrien County, MI",17-18,21,26,540
"Berrien County, MI",19-20,21,26,233
"Berrien County, MI",21-22,21,26,442
"Bexar County, TX",11-12,29,48,11063
"Bexar County, TX",13-14,29,48,9192
"Bexar County, TX",15-16,29,48,8121
"Bexar County, TX",17-18,29,48,6205
"Bexar County, TX",19-20,29,48,6063
"Bexar County, TX",21-22,29,48,6825
"Bibb County, GA",11-12,21,13,475
