Diocese,School Year,Enrollment
"Pittsburgh, PA",13-14,15267
"Pittsburgh, PA",15-16,12694
"Pittsburgh, PA",17-18,12620
"Pittsburgh, PA",19-20,12962
"Pittsburgh, PA",21-22,10374
"Portland, ME",11-12,3160
"Portland, ME",13-14,2194
"Portland, ME",15-16,2102
"Portland, ME",17-18,2279
"Portland, ME",19-20,2013
"Portland, ME",21-22,2363
"Portland, OR",11-12,14339
"Portland, OR",13-14,13830
"Portland, OR",15-16,13454
"Portland, OR",17-18,12324
"Portland, OR",19-20,11643
"Portland, OR",21-22,11714
"Providence, RI",11-12,14112
"Providence, RI",13-14,12894
"Providence, RI",15-16,8911
"Providence, RI",17-18,8957
"Providence, RI",19-20,7700
"Providence, RI",21-22,9058
"Pueblo, CO",11-12,971
"Pueblo, CO",13-14,1003
"Pueblo, CO",15-16,1014
"Pueblo, CO",17-18,1136
"Pueblo, CO",19-20,918
"Pueblo, CO",21-22,1046
"Raleigh, NC",11-12,8290
"Raleigh, NC",13-14,7064
"Raleigh, NC",15-16,7228
"Raleigh, NC",17-18,5789
"Raleigh, NC",19-20,6472
"Raleigh, NC",21-22,8425
"Rapid City, SD",11-12,1440
"Rapid City, SD",13-14,1725
"Rapid City, SD",15-16,1118
"Rapid City, SD",17-18,1477
"Rapid City, SD",19-20,1069
"Rapid City, SD",21-22,1155
"Reno, NV",11-12,1802
"Reno, NV",13-14,1189
"Reno, NV",15-16,1751
"Reno, NV",17-18,1743
"Reno, NV",19-20,1768
"Reno, NV",21-22,1879
"Richmond, VA",11-12,9248
"Richmond, VA",13-14,9265
"Richmond, VA",15-16,8000
"Richmond, VA",17-18,8749
"Richmond, VA",19-20,7384
"Richmond, VA",21-22,9202
"Rochester, NY",11-12,8171
"Rochester, NY",13-14,7241
"Rochester, NY",15-16,6328
"Rochester, NY",17-18,5575
"Rochester, NY",19-20,5471
"Rochester, NY",21-22,5845
"Rockford, IL",11-12,14027
"Rockford, IL",13-14,13128
"Rockford, IL",15-16,10691
"Rockford, IL",17-18,11354
"Rockford, IL",19-20,8863
"Rockford, IL",21-22,7467
"Rockville Centre, NY",11-12,28963
"Rockville Centre, NY",13-14,25581
"Rockville Centre, NY",15-16,23245
"Rockville Centre, NY",17-18,20267
"Rockville Centre, NY",19-20,16946
"Rockville Centre, NY",21-22,15106
"Sacramento, CA",11-12,13845
"Sacramento, CA",13-14,13371
"Sacramento, CA",15-16,11764
"Sacramento, CA",17-18,11972
"Sacramento, CA",19-20,11320
"Sacramento, CA",21-22,11599
"Saginaw, MI",11-12,3336
"Saginaw, MI",13-14,2990
"Saginaw, MI",15-16,2010
"Saginaw, MI",17-18,1917
"Saginaw, MI",19-20,1882
"Saginaw, MI",21-22,1961
"Salina, KS",11-12,2547
"Salina, KS",13-14,2632
"Salina, KS",15-16,2417
"Salina, KS",17-18,1924
"Salina, KS",19-20,2267
"Salina, KS",21-22,2036
"Salt Lake, UT",11-12,5578
"Salt Lake, UT",13-14,5187
"Salt Lake, UT",15-16,5119
"Salt Lake, UT",17-18,5102
"Salt Lake, UT",19-20,4000
"Salt Lake, UT",21-22,3194
"San Angelo, TX",11-12,654
"San Angelo, TX",13-14,748
"San Angelo, TX",15-16,861
"San Angelo, TX",17-18,900
"San Angelo, TX",19-20,886
"San Angelo, TX",21-22,794
"San Antonio, TX",11-12,12590
"San Antonio, TX",13-14,10958
"San Antonio, TX",15-16,9822
"San Antonio, TX",17-18,8118
"San Antonio, TX",19-20,7428
"San Antonio, TX",21-22,8520
"San Bernardino, CA",11-12,7300
"San Bernardino, CA",13-14,6192
"San Bernardino, CA",15-16,7371
"San Bernardino, CA",17-18,7887
"San Bernardino, CA",19-20,6014
"San Bernardino, CA",21-22,5335
"San Diego, CA",11-12,16437
"San Diego, CA",13-14,14278
"San Diego, CA",15-16,13315
"San Diego, CA",17-18,13068
"San Diego, CA",19-20,11197
"San Diego, CA",21-22,13490
