County & State,School Year,County Code,State ANSI Code,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Auglaize County, OH",21-22,11,39,167,172.0,0.9709302325581395,-5.0,606.0,42.762535477767265,630.0,40.491958372753075,165.0,1.0121212121212122,2.0,445.0,58.7360594795539,440.0,59.20074349442379,129.0,1.2945736434108528,38.0,193.0,82.6086956521739,139.0,87.5
"Avoyelles Parish, LA",21-22,9,22,909,743.0,1.2234185733512786,166.0,180.0,83.06527909176916,228.0,78.52412488174078,1033.0,0.8799612778315585,-124.0,817.0,24.1635687732342,694.0,35.594795539033456,1043.0,0.8715244487056567,-134.0,729.0,34.05797101449276,536.0,51.539855072463766
"Baldwin County, AL",21-22,3,1,1125,1164.0,0.9664948453608248,-39.0,795.0,24.88174077578051,637.0,39.82970671712393,1060.0,1.0613207547169812,65.0,219.0,79.73977695167285,368.0,65.89219330855019,867.0,1.2975778546712802,258.0,51.0,95.47101449275362,138.0,87.59057971014492
"Baltimore City, MD",21-22,510,24,4999,4274.0,1.1696303228825455,725.0,54.0,94.98580889309366,281.0,73.50993377483444,4240.0,1.179009433962264,759.0,31.0,97.21189591078067,247.0,77.13754646840148,5824.0,0.8583447802197802,-825.0,968.0,12.409420289855072,565.0,48.91304347826087
"Baltimore County, MD",21-22,5,24,8975,7942.0,1.1300679929488793,1033.0,37.0,96.59413434247871,323.0,69.5364238410596,10057.0,0.892413244506314,-1082.0,1017.0,5.5762081784386615,679.0,36.98884758364313,10849.0,0.8272651857314038,-1874.0,1031.0,6.702898550724639,602.0,45.561594202898554
"Bannock County, ID",21-22,5,16,136,150.0,0.9066666666666666,-14.0,683.0,35.47776726584674,753.0,28.855250709555346,177.0,0.768361581920904,-41.0,685.0,36.43122676579926,842.0,21.84014869888476,189.0,0.7195767195767195,-53.0,578.0,47.73550724637681,760.0,31.25
"Baraga County, MI",21-22,13,26,52,49.0,1.0612244897959184,3.0,532.0,49.76348155156102,434.0,59.03500473036897,53.0,0.9811320754716981,-1.0,477.0,55.762081784386616,506.0,53.06691449814126,32.0,1.625,20.0,247.0,77.71739130434783,56.0,95.01811594202898
"Barnes County, ND",21-22,3,38,48,46.0,1.0434782608695652,2.0,541.0,48.912015137180695,466.0,56.00756859035004,40.0,1.2,8.0,403.0,62.639405204460964,234.0,78.3457249070632,58.0,0.8275862068965517,-10.0,390.0,64.76449275362319,600.0,45.742753623188406
"Barnstable County, MA",21-22,1,25,876,527.0,1.6622390891840608,349.0,111.0,89.59318826868495,81.0,92.4314096499527,598.0,1.4648829431438126,278.0,99.0,90.89219330855019,112.0,89.68401486988847,939.0,0.9329073482428115,-63.0,603.0,45.471014492753625,431.0,61.050724637681164
"Barron County, WI",21-22,5,55,152,162.0,0.9382716049382716,-10.0,645.0,39.0728476821192,690.0,34.815515610217595,149.0,1.0201342281879195,3.0,432.0,59.94423791821561,424.0,60.687732342007436,179.0,0.8491620111731844,-27.0,474.0,57.15579710144928,570.0,48.460144927536234
"Barry County, MI",21-22,15,26,65,55.0,1.1818181818181819,10.0,452.0,57.33207190160833,264.0,75.11825922421949,70.0,0.9285714285714286,-5.0,512.0,52.5092936802974,605.0,43.866171003717476,94.0,0.6914893617021277,-29.0,485.0,56.15942028985508,793.0,28.26086956521739
"Barry County, MO",21-22,9,29,82,,,,,,,,67.0,1.2238805970149254,15.0,355.0,67.1003717472119,206.0,80.94795539033457,95.0,0.8631578947368421,-13.0,409.0,63.04347826086957,555.0,49.81884057971014
"Bartholomew County, IN",21-22,5,18,359,403.0,0.890818858560794,-44.0,809.0,23.55723746452223,781.0,26.206244087038787,387.0,0.9276485788113695,-28.0,652.0,39.498141263940525,611.0,43.30855018587361,360.0,0.9972222222222222,-1.0,348.0,68.56884057971014,353.0,68.11594202898551
"Barton County, KS",21-22,9,20,238,81.0,2.9382716049382718,157.0,187.0,82.40302743614002,12.0,98.9593188268685,73.0,3.26027397260274,165.0,139.0,87.17472118959108,13.0,98.88475836431226,266.0,0.8947368421052632,-28.0,478.0,56.79347826086957,493.0,55.434782608695656
"Bay County, FL",21-22,5,12,124,125.0,0.992,-1.0,570.0,46.16840113528855,585.0,44.74929044465468,280.0,0.44285714285714284,-156.0,833.0,22.676579925650557,1040.0,3.4386617100371746,108.0,1.1481481481481481,16.0,265.0,76.08695652173914,211.0,80.97826086956522
"Bay County, MI",21-22,17,26,379,449.0,0.844097995545657,-70.0,856.0,19.110690633869442,847.0,19.96215704824976,245.0,1.546938775510204,134.0,160.0,85.22304832713755,101.0,90.70631970260223,883.0,0.4292185730464326,-504.0,911.0,17.57246376811594,1041.0,5.797101449275362
"Beadle County, SD",21-22,5,46,141,132.0,1.0681818181818181,9.0,460.0,56.5752128666036,417.0,60.64333017975402,153.0,0.9215686274509803,-12.0,558.0,48.234200743494426,619.0,42.56505576208178,155.0,0.9096774193548387,-14.0,415.0,62.5,472.0,57.33695652173913
"Beaufort County, SC",21-22,13,45,363,183.0,1.9836065573770492,180.0,171.0,83.91674550614948,42.0,96.12109744560075,624.0,0.5817307692307693,-261.0,896.0,16.82156133828996,986.0,8.45724907063197,570.0,0.6368421052631579,-207.0,788.0,28.713768115942027,849.0,23.18840579710145
"Beaver County, PA",21-22,7,42,422,512.0,0.82421875,-90.0,869.0,17.880794701986755,866.0,18.164616840113528,559.0,0.7549194991055456,-137.0,825.0,23.42007434944238,861.0,20.074349442379184,813.0,0.5190651906519065,-391.0,872.0,21.105072463768117,977.0,11.594202898550725
"Becker County, MN",21-22,5,27,154,137.0,1.1240875912408759,17.0,403.0,61.9678334910123,332.0,68.68495742667929,,,,,,,,107.0,1.439252336448598,47.0,168.0,84.87318840579711,94.0,91.57608695652173
"Bell County, TX",21-22,27,48,498,111.0,4.486486486486487,387.0,103.0,90.35004730368968,2.0,99.90539262062441,441.0,1.129251700680272,57.0,237.0,78.06691449814126,288.0,73.3271375464684,423.0,1.177304964539007,75.0,122.0,89.03985507246377,189.0,82.97101449275362
"Belmont County, OH",21-22,13,39,129,253.0,0.5098814229249012,-124.0,880.0,16.840113528855248,1028.0,2.838221381267739,367.0,0.35149863760217986,-238.0,881.0,18.21561338289963,1057.0,1.858736059479554,534.0,0.24157303370786518,-405.0,880.0,20.380434782608695,1096.0,0.8152173913043478
"Beltrami County, MN",21-22,7,27,405,340.0,1.1911764705882353,65.0,272.0,74.36140018921475,255.0,75.96972563859981,430.0,0.9418604651162791,-25.0,643.0,40.33457249070632,581.0,46.09665427509294,365.0,1.1095890410958904,40.0,186.0,83.2427536231884,232.0,79.07608695652173
"Bennington County, VT",21-22,3,50,187,205.0,0.9121951219512195,-18.0,703.0,33.58561967833491,739.0,30.179754020813625,171.0,1.0935672514619883,16.0,351.0,67.4721189591078,328.0,69.6096654275093,146.0,1.2808219178082192,41.0,182.0,83.60507246376811,142.0,87.22826086956522
"Benton County, AR",21-22,7,5,435,392.0,1.1096938775510203,43.0,304.0,71.33396404919584,355.0,66.50898770104068,374.0,1.1631016042780749,61.0,225.0,79.182156133829,259.0,76.02230483271374,316.0,1.3765822784810127,119.0,97.0,91.30434782608695,107.0,90.39855072463769
"Benton County, IN",21-22,7,18,117,111.0,1.054054054054054,6.0,494.0,53.358561967833495,443.0,58.18353831598865,86.0,1.3604651162790697,31.0,288.0,73.3271375464684,144.0,86.7100371747212,117.0,1.0,0.0,341.0,69.20289855072464,341.0,69.20289855072464
"Benton County, MN",21-22,9,27,295,370.0,0.7972972972972973,-75.0,861.0,18.637653736991485,894.0,15.515610217596972,724.0,0.4074585635359116,-429.0,944.0,12.360594795539033,1049.0,2.6022304832713754,736.0,0.4008152173913043,-441.0,890.0,19.47463768115942,1054.0,4.619565217391304
"Benton County, WA",21-22,5,53,750,731.0,1.0259917920656634,19.0,391.0,63.1031220435194,499.0,52.88552507095553,681.0,1.1013215859030836,69.0,214.0,80.20446096654274,318.0,70.53903345724906,,,,,,,
"Bergen County, NJ",21-22,3,34,7069,6683.0,1.0577584916953464,386.0,104.0,90.25543992431409,439.0,58.56196783349101,8845.0,0.7992085924250989,-1776.0,1045.0,2.973977695167286,807.0,25.092936802973973,12201.0,0.5793787394475862,-5132.0,1090.0,1.358695652173913,926.0,16.213768115942027
"Berkeley County, SC",21-22,15,45,116,,,,,,,,142.0,0.8169014084507042,-26.0,647.0,39.96282527881041,783.0,27.323420074349443,214.0,0.5420560747663551,-98.0,688.0,37.77173913043478,949.0,14.130434782608695
"Berkeley County, WV",21-22,3,54,324,220.0,1.4727272727272727,104.0,226.0,78.71333964049197,118.0,88.93093661305582,291.0,1.1134020618556701,33.0,285.0,73.60594795539033,307.0,71.56133828996283,306.0,1.0588235294117647,18.0,254.0,77.08333333333334,280.0,74.72826086956522
"Berks County, PA",21-22,11,42,2240,2579.0,0.8685537029856534,-339.0,965.0,8.798486281929991,819.0,22.61116367076632,2552.0,0.877742946708464,-312.0,909.0,15.613382899628252,697.0,35.31598513011153,1857.0,1.206246634356489,383.0,28.0,97.55434782608695,175.0,84.23913043478261
