Diocese,School Year,21-22 Enrollment,19-20 Enrollment,21-22 Enrollment as Proportion of 19-20 Enrollment,19-20 to 21-22 Enrollment Change,19-20 to 21-22 Enrollment Change Rank,19-20 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 19-20 Enrollment Rank,21-22 Enrollment as Proportion of 19-20 Enrollment Percentile,17-18 Enrollment,21-22 Enrollment as Proportion of 17-18 Enrollment,17-18 to 21-22 Enrollment Change,17-18 to 21-22 Enrollment Change Rank,17-18 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 17-18 Enrollment Rank,21-22 Enrollment as Proportion of 17-18 Enrollment Percentile,11-12 Enrollment,21-22 Enrollment as Proportion of 11-12 Enrollment,11-12 to 21-22 Enrollment Change,11-12 to 21-22 Enrollment Change Rank,11-12 to 21-22 Enrollment Change Percentile,21-22 Enrollment as Proportion of 11-12 Enrollment Rank,21-22 Enrollment as Proportion of 11-12 Enrollment Percentile
"Covington, KY",21-22,8295,7918,1.047613033594342,377,70.0,60.57142857142858,86.0,51.42857142857142,8932,0.9286833855799373,-637,111.0,37.142857142857146,93.0,47.42857142857143,9643,0.8602094783780981,-1348,89.0,49.714285714285715,61.0,65.71428571428571
"Crookston, MN",21-22,1446,1380,1.0478260869565217,66,100.0,43.42857142857143,85.0,52.0,1327,1.089675960813866,119,56.0,68.57142857142857,34.0,81.14285714285714,1315,1.0996197718631178,131,26.0,85.71428571428571,19.0,89.71428571428571
"Dallas, TX",21-22,11598,11038,1.0507338285921362,560,59.0,66.85714285714286,84.0,52.57142857142857,14145,0.8199363732767763,-2547,151.0,14.285714285714285,129.0,26.857142857142858,13902,0.83426845058265,-2304,114.0,35.42857142857142,72.0,59.42857142857143
"Davenport, IA",21-22,5583,5141,1.0859754911495818,442,64.0,64.0,70.0,60.57142857142858,5125,1.0893658536585367,458,27.0,85.14285714285714,35.0,80.57142857142857,4785,1.1667711598746082,798,9.0,95.42857142857143,13.0,93.14285714285714
"Denver, CO",21-22,11608,11136,1.0423850574712643,472,62.0,65.14285714285715,92.0,48.0,10278,1.129402607511189,1330,8.0,96.0,29.0,84.0,14593,0.7954498732268896,-2985,131.0,25.71428571428571,90.0,49.142857142857146
"Des Moines, IA",21-22,6109,5157,1.1846034516191584,952,37.0,79.42857142857143,37.0,79.42857142857143,5390,1.1333951762523191,719,18.0,90.28571428571428,28.0,84.57142857142857,5953,1.0262052746514363,156,22.0,88.0,28.0,84.57142857142857
"Detroit, MI",21-22,24018,21261,1.1296740510794412,2757,5.0,97.71428571428571,53.0,70.28571428571428,26328,0.912260711030082,-2310,148.0,16.0,101.0,42.857142857142854,28620,0.8392033542976939,-4602,149.0,15.428571428571427,66.0,62.857142857142854
"Dodge City, KS",21-22,704,558,1.2616487455197132,146,90.0,49.142857142857146,22.0,88.0,544,1.2941176470588236,160,52.0,70.85714285714285,15.0,92.0,994,0.7082494969818913,-290,46.0,74.28571428571429,121.0,31.428571428571427
"Dubuque, IA",21-22,8345,8751,0.9536053022511713,-406,139.0,21.142857142857142,129.0,26.857142857142858,11788,0.7079233118425518,-3443,163.0,7.428571428571429,162.0,8.0,12283,0.6793942847838476,-3938,140.0,20.57142857142857,126.0,28.57142857142857
"Duluth, MN",21-22,1204,925,1.3016216216216216,279,82.0,53.714285714285715,16.0,91.42857142857143,1052,1.144486692015209,152,53.0,70.28571428571428,25.0,86.28571428571429,1470,0.819047619047619,-266,42.0,76.57142857142857,80.0,54.85714285714286
"El Paso, TX",21-22,2013,2283,0.8817345597897503,-270,129.0,26.857142857142858,148.0,16.0,2855,0.7050788091068301,-842,120.0,32.0,163.0,7.428571428571429,4115,0.4891859052247874,-2102,109.0,38.285714285714285,170.0,3.428571428571429
"Erie, PA",21-22,5400,4567,1.1823954455879133,833,42.0,76.57142857142857,39.0,78.28571428571428,5296,1.0196374622356494,104,60.0,66.28571428571428,63.0,64.57142857142857,7363,0.7333967132962108,-1963,106.0,40.0,115.0,34.85714285714286
"Evansville, IN",21-22,6169,6214,0.9927582877373672,-45,112.0,36.57142857142857,111.0,37.142857142857146,6740,0.9152818991097923,-571,107.0,39.42857142857143,97.0,45.14285714285714,6670,0.924887556221889,-501,55.0,69.14285714285714,44.0,75.42857142857143
